property_id;label;definition;wikibase_datatype;unit;property_roles;used_as_main_property;used_as_qualifier;used_as_reference_property;qualifies_properties;domain;range_type;range_or_controlled_values;cardinality;minimum_count;maximum_count;allowed_qualifiers
P19;Wikidata reference;Equivalent entity in Wikidata.;external-id;;"Defined for future extensions; not currently instantiated in the knowledge graph.";no;no;no;;—;—;—;—;—;—;
P20;GT Tonnage;Gross tonnage of the vessel.;quantity;tonnes;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:quantity;FishingVessel:?;FishingVessel:0;FishingVessel:1;
P21;other tonnage;Additional tonnage measurement associated with the vessel.;quantity;tonnes;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:quantity;FishingVessel:?;FishingVessel:0;FishingVessel:1;
P22;safety tonnage GTs;Gross tonnage used for safety certification.;quantity;tonnes;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:quantity;FishingVessel:?;FishingVessel:0;FishingVessel:1;
P23;main engine power;Rated power of the main propulsion engine.;quantity;KwH, Hp;main statement property;yes;no;no;;Vessel;literal_datatype;xsd:quantity;Vessel:*;Vessel:0;Vessel:unbounded;
P24;auxiliar engine power;Rated power of auxiliary engines.;quantity;KwH, Hp;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:quantity;FishingVessel:?;FishingVessel:0;FishingVessel:1;
P25;has fishing gear category;Fishing gear category associated with the vessel.;wikibase-item;;main statement property;yes;no;no;;FishingVessel;entity_class;FishingGearCategory;FishingVessel:1;FishingVessel:1;FishingVessel:1;
P26;code;Official code assigned to the entity.;string;;main statement property;yes;no;no;;Category | FishingArea | MaritimeDistrict | Material | Port | Vessel;literal_datatype;xsd:string;Category:+ | FishingArea:1 | MaritimeDistrict:1 | Material:1 | Port:+ | Vessel:?;Category:1 | FishingArea:1 | MaritimeDistrict:1 | Material:1 | Port:1 | Vessel:0;Category:unbounded | FishingArea:1 | MaritimeDistrict:1 | Material:1 | Port:unbounded | Vessel:1;P47 | P48
P27;hull material;Material from which the vessel hull is constructed.;wikibase-item;;main statement property;yes;no;no;;Vessel;entity_class;Material;Vessel:?;Vessel:0;Vessel:1;
P28;on board equipment;Equipment installed or carried on board the vessel.;wikibase-item;;main statement property;yes;no;no;;FishingVessel;entity_class;OnboardEquipment;FishingVessel:*;FishingVessel:0;FishingVessel:unbounded;P13
P29;entry into service date;Date on which the vessel entered service.;time;;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:date;FishingVessel:1;FishingVessel:1;FishingVessel:1;
P30;date of construction;Date on which the vessel was constructed.;time;;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:date;FishingVessel:?;FishingVessel:0;FishingVessel:1;
P31;registration on national registry;Date of registration in national registry.;time;;main statement property;yes;no;no;;Vessel;literal_datatype;xsd:date;Vessel:?;Vessel:0;Vessel:1;
P32;status on national registry;Registration status of the vessel in the national registry.;string;;main statement property;yes;no;no;;Vessel;literal_datatype;xsd:string;Vessel:?;Vessel:0;Vessel:1;P33
P33;since;Start date of validity for a statement or relationship.;time;;qualifier property;no;yes;no;P32;P32;literal_datatype;xsd:date;P32:1;P32:1;P32:1;
P34;image;Image depicting the entity.;url;;main statement property;yes;no;no;;Vessel;unrestricted;.;Vessel:?;Vessel:0;Vessel:1;
P35;instance of;Class to which the entity belongs.;wikibase-item;;main statement property;yes;no;no;;AdministrativeUnit | Category | Equipment | FishingArea | FishingGearCategory | FishingPort | FishingVessel | FishingVesselCategory | IndustrialPort | LandAdministrativeUnit | MaritimeAdministrativeUnit | MaritimeDistrict | MaritimeProvince | Material | OnboardEquipment | Port | SpanishAutonomousCommunity | Vessel | VesselCategory | VesselEquipment | VesselSupportingFishingRelatedActivities | VesselSupportingFishingRelatedActivitiesCategory;controlled_item;Q13 | Q23 | Q24 | Q62 | Q63 | Q138 | Q144 | Q379 | Q398 | Q399 | Q448 | Q467 | Q468 | Q470 | Q471 | Q472 | Q473 | Q482 | Q609 | Q28608 | Q28609 | Q28610;AdministrativeUnit:1 | Category:1 | Equipment:1 | FishingArea:1 | FishingGearCategory:1 | FishingPort:1 | FishingVessel:1 | FishingVesselCategory:1 | IndustrialPort:1 | LandAdministrativeUnit:1 | MaritimeAdministrativeUnit:1 | MaritimeDistrict:1 | MaritimeProvince:1 | Material:1 | OnboardEquipment:1 | Port:1 | SpanishAutonomousCommunity:1 | Vessel:1 | VesselCategory:1 | VesselEquipment:1 | VesselSupportingFishingRelatedActivities:1 | VesselSupportingFishingRelatedActivitiesCategory:1;AdministrativeUnit:1 | Category:1 | Equipment:1 | FishingArea:1 | FishingGearCategory:1 | FishingPort:1 | FishingVessel:1 | FishingVesselCategory:1 | IndustrialPort:1 | LandAdministrativeUnit:1 | MaritimeAdministrativeUnit:1 | MaritimeDistrict:1 | MaritimeProvince:1 | Material:1 | OnboardEquipment:1 | Port:1 | SpanishAutonomousCommunity:1 | Vessel:1 | VesselCategory:1 | VesselEquipment:1 | VesselSupportingFishingRelatedActivities:1 | VesselSupportingFishingRelatedActivitiesCategory:1;AdministrativeUnit:1 | Category:1 | Equipment:1 | FishingArea:1 | FishingGearCategory:1 | FishingPort:1 | FishingVessel:1 | FishingVesselCategory:1 | IndustrialPort:1 | LandAdministrativeUnit:1 | MaritimeAdministrativeUnit:1 | MaritimeDistrict:1 | MaritimeProvince:1 | Material:1 | OnboardEquipment:1 | Port:1 | SpanishAutonomousCommunity:1 | Vessel:1 | VesselCategory:1 | VesselEquipment:1 | VesselSupportingFishingRelatedActivities:1 | VesselSupportingFishingRelatedActivitiesCategory:1;
P36;division of;Fishing area or administrative division of which the entity is part.;wikibase-item;;main statement property;yes;no;no;;FishingArea;entity_class;FishingArea;FishingArea:?;FishingArea:0;FishingArea:1;
P37;name;Official name of the entity.;string;;main statement property;yes;no;no;;AdministrativeUnit | Port | Vessel;literal_datatype;xsd:string;AdministrativeUnit:? | Port:+ | Vessel:*;AdministrativeUnit:0 | Port:1 | Vessel:0;AdministrativeUnit:1 | Port:unbounded | Vessel:unbounded;
P38;subarea of;Parent fishing area of the entity.;wikibase-item;;main statement property;yes;no;no;;FishingArea;entity_class;FishingArea;FishingArea:?;FishingArea:0;FishingArea:1;
P39;has divisions;Fishing divisions contained within the entity.;wikibase-item;;main statement property;yes;no;no;;FishingArea;entity_class;FishingArea;FishingArea:*;FishingArea:0;FishingArea:unbounded;
P40;has subareas;Fishing subareas contained within the entity.;wikibase-item;;main statement property;yes;no;no;;FishingArea;entity_class;FishingArea;FishingArea:*;FishingArea:0;FishingArea:unbounded;
P41;operates at;Fishing area in which the vessel operates.;wikibase-item;;main statement property;yes;no;no;;Vessel;entity_class;FishingArea;Vessel:?;Vessel:0;Vessel:1;
P42;coordinates;Geographic coordinates of the entity.;globe-coordinate;;main statement property;yes;no;no;;Port;literal_datatype;xsd:coordinate;Port:+;Port:1;Port:unbounded;
P43;contains administrative unit;Administrative units contained within the entity.;wikibase-item;;main statement property;yes;no;no;;MaritimeProvince | SpanishAutonomousCommunity;entity_class;MaritimeDistrict | MaritimeProvince;MaritimeProvince:+ | SpanishAutonomousCommunity:1;MaritimeProvince:1 | SpanishAutonomousCommunity:1;MaritimeProvince:unbounded | SpanishAutonomousCommunity:1;
P44;date;Date associated with the statement or event.;time;;qualifier property;no;yes;no;P54;P54;literal_datatype;xsd:date;P54: 1;P54: 1;P54:1;
P45;number of vessels;Number of vessels associated with the entity.;quantity;number;main statement property;yes;no;no;;Port;literal_datatype;xsd:integer;Port:*;Port:0;Port:unbounded;P58
P46;source;Source supporting the statement.;url;;reference property;no;no;yes;;—;—;—;—;—;—;
P47;start date;Date on which the validity of a statement begins.;time;;qualifier property;no;yes;no;P26;P26;literal_datatype;xsd:date;P26:1;P26:1;P26:1;
P48;end date;Date on which the validity of a statement ends.;time;;qualifier property;no;yes;no;P26;P26;literal_datatype;xsd:date;P26:1;P26:1;P26:1;
P49;IMO;International Maritime Organization ship identification number.;string;;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:string;FishingVessel:?;FishingVessel:0;FishingVessel:1;
P50;category of;Denotes categorization.;wikibase-item;;main statement property;yes;no;no;;Category;entity_class;Vessel | FishingGear;Category:?;Category:0;Category:1;
P51;has vessel category;Vessel category assigned to the vessel.;wikibase-item;;main statement property;yes;no;no;;FishingVessel | VesselSupportingFishingRelatedActivities;entity_class;FishingVesselCategory | VesselSupportingFishingRelatedActivitiesCategory;FishingVessel:1 | VesselSupportingFishingRelatedActivities:1;FishingVessel:1 | VesselSupportingFishingRelatedActivities:1;FishingVessel:1 | VesselSupportingFishingRelatedActivities:1;
P52;subclass of;Parent class in the hierarchy.;wikibase-item;;main statement property;yes;no;no;;Category;entity_class;Category;Category:?;Category:0;Category:1;
P53;abbreviation;Abbreviated form of the entity name.;string;;main statement property;yes;no;no;;FishingGearCategory | VesselCategory;literal_datatype;xsd:string;FishingGearCategory:? | VesselCategory:?;FishingGearCategory:0 | VesselCategory:0;FishingGearCategory:1 | VesselCategory:1;
P54;superseded by;Entity replacing the current entity in the classification.;wikibase-item;;main statement property;yes;no;no;;Category;entity_class;Category;Category:?;Category:0;Category:1;P44
P55;country of registration;Country in which the vessel is registered.;string;;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:string;FishingVessel:+;FishingVessel:1;FishingVessel:unbounded;
P56;administration responsible of registration;Authority responsible for vessel registration.;string;;main statement property;yes;no;no;;Vessel;literal_datatype;xsd:string;Vessel:?;Vessel:0;Vessel:1;
P57;date of destruction;Date on which the vessel was destroyed.;time;;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:date;FishingVessel:?;FishingVessel:0;FishingVessel:1;
P58;date of retirement;Date on which the vessel was permanently withdrawn from service.;time;;main statement property | qualifier property;yes;yes;no;P45;P45;literal_datatype;xsd:date;P45:?;P45:0;P45:1;
P59;segment;Fleet segment to which the vessel belongs.;string;;main statement property;yes;no;no;;FishingVessel;literal_datatype;xsd:string;FishingVessel:*;FishingVessel:0;FishingVessel:unbounded;
P60;administrated by;Administrative authority responsible for the entity.;string;;main statement property;yes;no;no;;Port;literal_datatype;xsd:string;Port:*;Port:0;Port:unbounded;
